bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,nan,no,1,0,0.0,0,0,0,,,nan,,,,nan,,
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
yes,92612,yes,0,1,0.0,1,1,0,5,yes,yes,,,don’t know,very,somewhat,
yes,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,nan,no,1,0,0.0,0,0,0,13,maybe,no,,,very,don't know,,
no,93117,no,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
no,91748,no,0,0,0.0,0,1,0,,,nan,,,,nan,,
yes,92119,no,0,0,0.0,0,0,1,5,maybe,a bit,,,very,somewhat,somewhat,
no,nan,nan,0,0,0.0,0,0,0,,,nan,,,,nan,,
yes,92109,no,0,1,,0,0,0,10,,no,,,very,somewhat,,yes
no,92103,no,0,1,,0,0,0,5,,a bit,,,not very,not very,,maybe
no,92114,no,0,1,,0,0,0,12,,no,,,very,don't know,,maybe
yes,92109,no,0,1,,0,0,0,50,,no,,,very,somewhat,,yes
yes,92109,no,0,1,,0,0,0,20,,no,,,somewhat,not very,,yes
yes,92116,yes,1,0,,1,0,0,3,,yes,,,very,very,,maybe
yes,92013,no,0,0,,1,0,0,5,,yes,,,very,somewhat,,yes
no,92114,no,0,1,,0,0,0,5,,no,,,somewhat,somewhat,,maybe
yes,92102,yes,0,0,,1,0,0,70,,a bit,,,very,very,,yes
no,nan,no,1,0,,0,0,0,14,,no,,,somewhat,not very,,maybe
yes,nan,yes,0,1,,0,0,0,50,,yes,,,not very,somewhat,,yes
yes,92116,no,0,0,,0,0,1,0,,no,,,very,not very,,maybe
yes,92102,yes,1,1,,0,0,0,30,,no,,,somewhat,somewhat,,yes
yes,92104,no,0,1,,0,0,0,10,,no,,,very,somewhat,,yes
yes,92115,no,0,0,,0,0,1,0,,yes,,,very,somewhat,,yes
no,92009,no,0,0,,0,0,1,0,,no,,,somewhat,don't know,,no
yes,92139,no,0,1,,0,0,0,10,,yes,,,somewhat,very,,yes
no,92122,no,0,0,,0,0,1,0,,no,,,very,don't know,,yes
yes,92020,no,0,1,,0,0,0,40,,no,,,somewhat,don't know,,yes
no,92037,no,1,0,,0,0,0,25,,no,,,,don't know,,no
no,92102,no,0,0,,0,0,1,0,,no,,,very,don't know,,yes
no,92139,no,0,1,,0,0,0,30,,no,,,not very,don't know,,no
yes,92104,no,0,1,,0,0,0,30,,a bit,,,somewhat,very,,no
yes,92139,yes,0,0,,1,0,0,35,,no,,,very,very,,yes
yes,92123,yes,0,0,,1,0,0,40,,yes,,,somewhat,very,,yes
yes,92102,yes,0,0,,0,0,1,0,,no,,,very,somewhat,,yes
yes,92105,no,0,0,,0,0,1,0,,no,,,,somewhat,,no
no,92173,no,0,1,,0,0,0,20,,no,,,no opinon,very,,yes
no,91906,yes,0,1,,0,0,0,80,,no,,,no opinon,don't know,,no
no,92102,no,0,1,,0,0,0,6,,yes,,,very,don't know,,no
