bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested,label
no,92037,no,1,0,,0,0,0,25.0,,no,,,,don't know,,no,0
no,92102,no,0,0,,0,0,1,0.0,,no,,,very,don't know,,yes,3
no,92139,no,0,1,,0,0,0,30.0,,no,,,not very,don't know,,no,3
yes,92104,no,0,1,,0,0,0,30.0,,a bit,,,somewhat,very,,no,4
yes,92139,yes,0,0,,1,0,0,35.0,,no,,,very,very,,yes,3
yes,92123,yes,0,0,,1,0,0,40.0,,yes,,,somewhat,very,,yes,1
yes,92102,yes,0,0,,0,0,1,0.0,,no,,,very,somewhat,,yes,3
yes,92105,no,0,0,,0,0,1,0.0,,no,,,,somewhat,,no,3
no,92173,no,0,1,,0,0,0,20.0,,no,,,no opinon,very,,yes,3
no,91906,yes,0,1,,0,0,0,80.0,,no,,,no opinon,don't know,,no,2
no,92102,no,0,1,,0,0,0,6.0,,yes,,,very,don't know,,no,3
no,91950,yes,0,0,,0,0,1,0.0,,a bit,,,very,somewhat,,yes,3
yes,92117,no,0,1,,0,0,0,28.0,,no,,,very,not very,,yes,1
yes,92118,no,0,1,,0,0,0,10.0,,yes,,,very,very,,yes,4
no,92122,no,1,1,,0,0,0,24.0,,no,,,somewhat,don't know,,yes,4
no,92129,no,0,1,,0,0,0,22.0,,no,,,somewhat,not very,,yes,0
yes,92108,no,0,1,,0,0,0,10.0,,no,,,somewhat,not very,,maybe,NaN
no,91945,no,0,1,,0,0,0,20.0,,a bit,,,somewhat,not very,,yes,3
yes,92108,no,0,1,,0,0,0,10.0,,no,,,somewhat,not very,,yes,NaN
yes,92117,no,0,1,,0,0,0,15.0,,no,,,very,not very,,maybe,1
yes,92102,no,0,1,,0,0,0,12.0,,no,,,somewhat,somewhat,,maybe,3
no,92139,no,1,0,,0,0,0,15.0,,no,,,no opinon,don't know,,no,3
