Zipcode,Population,Land Area (Sq. Miles),Population Density (People per Square Mile),Median Age,Population By Age % (Under 18 Years),Population By Age % (18 to 34),Population By Age % (35 to 64),Population By Age % (65 and Over),Male %,White %,Black %,Asian %,Hispanic %,Other %,Less Than High School %,High School Grad or Higher %,Bachelor's Degree or Higher %,Media Household Income $,Gini Index,Unemployed % ,Poverty %,Average Commute to Work (min),Drove Alone %,Carpooled %,Public Transit %,Motorcycle %,Bicycle %,Walked %,Other %.1,Worked at Home %,Health Insurance Coverage %,Married %,Median House Value $,label
92020,60222.0,11.12,5417.53,35.1,24.74,25.13,37.39,12.75,49.36,59.23,5.43,4.39,26.63,4.32,15.04,84.96,26.08,64691.0,0.46,9.26,16.09,26.0,74.93,8.81,4.51,0.64,0.02,1.83,1.19,8.07,93.08,48.13,576200.0,0
92021,71006.0,28.04,2532.4,35.2,25.52,24.03,35.84,14.6,48.41,56.03,6.56,4.55,26.64,6.22,13.13,86.87,20.95,63395.0,0.47,7.84,18.15,26.0,77.9,8.61,2.61,0.36,0.17,1.86,1.11,7.38,92.46,48.53,469100.0,0
92040,45371.0,67.2,675.2,39.3,22.65,21.93,39.74,15.69,49.41,69.97,1.61,1.51,21.17,5.74,7.78,92.22,23.66,88820.0,0.39,6.2,7.68,29.0,75.22,8.3,0.89,0.59,0.4,1.2,0.96,12.43,95.9,52.99,540200.0,6
92071,59826.0,18.85,3173.95,39.3,22.83,21.31,40.33,15.53,48.6,67.33,1.26,4.85,20.11,6.45,7.89,92.11,30.35,93043.0,0.4,6.16,8.06,28.0,80.28,7.17,1.19,0.32,0.16,0.61,0.74,9.53,96.08,52.35,524100.0,6
92037,37505.0,12.05,3113.41,46.8,18.06,19.13,37.37,25.44,51.18,71.55,1.18,10.9,11.5,4.87,1.88,98.12,75.08,125636.0,0.53,6.65,8.72,23.0,58.92,6.34,2.85,0.69,1.57,5.55,1.81,22.27,96.22,55.01,1614900.0,1
92106,20889.0,5.66,3688.0,37.3,17.81,29.0,33.52,19.67,49.63,68.78,2.61,4.72,14.81,9.08,3.99,96.01,59.38,117589.0,0.5,3.07,7.93,21.0,66.02,4.22,0.45,1.39,1.35,8.57,1.59,16.41,97.05,52.3,1070000.0,1
92107,29753.0,3.02,9838.02,36.1,15.13,32.52,39.14,13.21,51.07,75.07,2.83,3.32,14.7,4.08,2.64,97.36,57.97,93741.0,0.44,5.12,8.59,24.0,61.89,6.54,2.09,0.96,1.74,4.48,1.82,20.48,93.4,39.19,982300.0,4
92018,21995.0,4.41,4989.59,33.1,9.89,44.86,37.25,8.0,51.98,53.31,5.28,10.98,22.76,7.67,2.24,97.76,53.97,87032.0,0.43,5.22,9.61,22.0,78.3,4.85,2.18,0.37,0.1,1.75,0.66,11.79,92.71,36.64,469300.0,4
92109,45333.0,7.61,5957.83,33.1,10.41,44.78,34.5,10.31,53.48,73.8,1.68,4.11,15.32,5.09,2.81,97.19,67.48,95170.0,0.44,3.38,8.28,25.0,67.25,4.7,2.09,0.31,3.4,2.31,0.93,19.01,92.89,30.59,962000.0,4
92110,30318.0,5.01,6055.31,33.1,15.17,38.29,33.47,13.07,50.4,60.85,5.48,7.4,18.55,7.72,4.75,95.25,50.56,87286.0,0.46,5.37,14.29,23.0,65.32,4.69,3.18,0.25,1.27,5.47,2.72,17.1,93.79,35.32,688800.0,4
92111,49351.0,8.48,5820.65,35.9,18.34,30.22,37.97,13.46,49.22,42.64,3.37,17.43,32.14,4.42,13.0,87.0,42.56,85347.0,0.41,6.4,12.79,23.0,72.41,9.78,3.52,0.58,0.48,1.4,1.79,10.04,91.94,42.79,604600.0,0
92117,55195.0,8.7,6342.1,37.5,17.88,28.7,37.66,15.76,51.07,58.54,3.12,9.18,24.33,4.83,8.11,91.89,49.85,97702.0,0.4,4.32,9.01,21.0,73.15,7.42,1.83,0.27,0.37,1.52,0.48,14.96,93.63,46.05,690000.0,2
92119,24465.0,6.56,3726.85,42.6,21.07,18.75,40.47,19.71,46.19,65.07,3.28,8.37,15.56,7.72,4.25,95.75,54.29,101109.0,0.41,5.17,6.87,27.0,70.84,7.71,1.12,0.19,0.35,0.43,0.1,19.26,96.47,54.03,632500.0,2
92120,29172.0,7.68,3798.18,39.8,19.74,23.36,38.6,18.29,50.03,65.19,5.48,6.15,17.54,5.64,3.62,96.38,54.39,103596.0,0.44,6.56,8.1,25.0,73.14,5.71,2.75,1.06,0.29,0.44,0.64,15.97,95.82,52.39,654100.0,2
92121,4213.0,12.54,335.99,32.9,15.1,37.79,38.22,8.9,54.21,52.17,1.35,28.65,9.97,7.86,0.77,99.23,78.59,117200.0,0.43,6.62,17.3,21.0,73.22,5.56,3.3,0.0,2.47,2.93,0.54,11.98,99.16,48.8,821100.0,4
92122,45676.0,5.38,8492.85,31.2,13.48,43.13,30.69,12.7,52.06,49.65,1.16,30.59,13.6,5.0,3.45,96.55,74.66,88073.0,0.45,6.35,21.15,19.0,60.61,7.32,7.31,0.5,2.07,3.45,0.67,18.07,94.55,40.61,780000.0,4
92123,33035.0,8.61,3836.22,34.9,18.01,32.18,37.21,12.6,53.18,44.73,7.64,19.27,21.99,6.37,6.94,93.06,46.44,97691.0,0.41,9.45,11.4,21.0,73.08,8.03,2.59,0.7,0.09,1.32,0.98,13.21,92.99,46.96,600900.0,0
92124,31593.0,9.78,3229.1,32.8,29.17,26.06,32.9,11.87,48.95,56.23,6.3,11.94,18.24,7.29,2.73,97.27,54.75,98693.0,0.38,4.26,6.48,23.0,77.83,6.81,0.89,1.24,0.16,0.4,0.38,12.29,98.26,62.31,704400.0,2
92126,78097.0,11.59,6740.39,35.5,20.05,29.06,38.12,12.76,51.27,24.71,3.67,47.86,17.11,6.65,10.85,89.15,46.24,105284.0,0.39,5.07,6.87,23.0,70.51,10.83,2.3,0.35,0.91,1.39,1.11,12.6,94.41,54.45,599500.0,2
92130,57197.0,18.56,3081.03,38.7,27.75,17.37,45.32,9.56,48.77,51.59,0.58,33.06,8.07,6.7,2.05,97.95,79.38,166789.0,0.44,4.96,4.61,22.0,70.45,3.21,0.84,0.06,0.21,1.11,0.51,23.61,97.67,65.15,1189300.0,2
92131,36070.0,38.64,933.42,41.2,27.66,13.74,44.48,14.12,50.45,50.62,1.94,28.29,12.28,6.87,2.79,97.21,68.77,153058.0,0.39,4.36,3.36,26.0,72.97,6.76,1.09,0.08,0.04,0.67,1.12,17.27,98.09,66.18,885500.0,2
92161,19058.0,262.64,72.56,42.4,21.28,17.33,44.98,16.41,50.81,83.82,0.0,1.08,12.43,2.67,4.83,95.17,59.64,107321.0,0.51,4.01,9.29,25.0,68.87,5.78,0.54,0.0,1.42,0.87,3.12,19.4,91.81,60.19,653600.0,1
92003,4299.0,15.02,286.3,45.9,19.93,16.45,41.34,22.28,51.04,63.18,0.12,1.86,29.12,5.72,10.14,89.86,36.24,98304.0,0.51,8.12,14.2,29.0,80.1,1.8,1.04,0.44,0.0,1.31,1.53,13.78,97.27,46.01,720300.0,6
92004,2779.0,914.88,3.04,62.8,10.69,9.86,32.82,46.64,42.75,64.66,0.04,0.04,35.26,0.0,8.56,91.44,28.53,83676.0,0.37,10.06,2.91,22.0,63.72,0.1,0.0,0.0,0.0,0.2,0.0,35.98,94.6,69.04,320600.0,5
92025,50831.0,22.37,2272.03,34.9,25.99,24.16,37.17,12.68,50.95,33.51,2.25,4.4,55.01,4.83,23.18,76.82,27.03,58608.0,0.5,3.93,17.74,26.0,73.05,11.9,2.74,0.21,0.29,1.86,1.6,8.35,85.17,47.76,558600.0,3
92026,51953.0,36.06,1440.8,37.3,22.3,23.36,38.68,15.65,50.84,45.09,1.46,7.98,40.67,4.8,14.27,85.73,31.1,83194.0,0.45,5.23,10.58,30.0,77.03,9.42,1.51,0.11,0.27,1.57,0.65,9.44,90.93,52.46,539900.0,0
92027,56878.0,59.67,953.23,34.5,23.97,26.68,37.42,11.93,49.86,33.01,1.78,5.62,56.45,3.14,22.25,77.75,20.51,74690.0,0.42,5.44,10.88,28.0,76.81,9.3,1.38,0.34,0.45,1.71,1.49,8.52,87.65,49.0,493300.0,0
92028,50661.0,116.71,434.06,39.7,23.9,21.48,35.59,19.03,49.35,50.22,1.2,2.91,41.81,3.86,13.27,86.73,34.1,87754.0,0.43,6.92,12.56,34.0,78.7,7.64,0.66,0.38,0.52,1.49,1.37,9.24,90.08,57.53,627900.0,6
92029,19466.0,22.56,862.86,44.4,20.07,18.06,40.93,20.94,48.32,58.23,1.56,7.73,26.4,6.08,8.23,91.77,43.14,98848.0,0.44,3.0,5.17,28.0,74.55,6.27,1.26,0.25,0.66,1.54,0.51,14.96,95.61,58.26,690900.0,6
92036,2981.0,504.31,5.91,55.8,14.66,12.75,45.96,26.64,56.16,74.51,3.25,0.07,17.95,4.22,8.05,91.95,28.52,64545.0,0.45,9.15,8.38,34.0,65.59,4.78,0.0,0.0,0.0,5.17,6.73,17.73,95.95,57.86,425900.0,6
92059,1445.0,27.61,52.33,38.3,28.65,15.36,39.1,16.89,41.73,17.37,1.25,4.36,45.26,31.76,24.81,75.19,15.61,87486.0,0.39,4.68,7.43,22.0,79.04,3.59,0.4,0.0,0.6,1.0,0.0,15.37,72.53,63.19,234200.0,7
92061,1694.0,34.83,48.64,53.8,20.6,13.46,35.95,29.99,51.89,42.86,0.59,1.83,28.93,25.79,19.28,80.72,28.83,78162.0,0.41,2.6,13.75,25.0,80.82,0.72,0.0,0.0,0.0,0.36,0.0,18.1,83.4,64.17,611500.0,7
92064,49005.0,42.34,1157.51,41.6,22.08,18.95,40.22,18.74,51.25,62.2,1.77,12.2,16.92,6.91,8.17,91.83,52.5,119838.0,0.44,7.02,5.13,25.0,75.14,7.53,0.73,1.0,0.59,1.17,0.66,13.18,96.28,59.35,767500.0,2
92065,36838.0,169.35,217.53,40.5,21.26,21.4,41.66,15.69,52.24,62.59,0.81,2.19,30.21,4.2,12.52,87.48,26.91,103743.0,0.4,4.55,5.42,34.0,80.9,7.21,0.1,0.48,0.0,1.25,0.33,9.73,93.98,56.13,593100.0,6
92066,358.0,22.06,16.23,54.4,11.73,6.15,56.7,25.42,46.93,95.81,2.79,0.0,1.4,0.0,13.92,86.08,18.45,45375.0,0.48,8.72,23.18,52.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,4.2,98.32,49.09,364900.0,6
92069,46375.0,18.47,2510.69,35.1,24.49,25.35,38.1,12.06,49.75,36.96,1.92,10.51,46.05,4.56,16.05,83.95,33.67,80429.0,0.45,5.41,10.6,25.0,78.44,6.93,0.62,0.11,0.18,2.75,0.8,10.17,90.16,50.14,569500.0,0
92070,869.0,129.42,6.71,44.9,15.42,22.21,39.59,22.78,64.1,57.88,0.12,0.35,13.0,28.65,10.21,89.79,31.77,75417.0,0.41,4.57,14.27,39.0,83.6,0.23,0.0,0.0,0.0,1.82,0.0,14.35,79.63,32.79,335700.0,7
